adult,belongs_to_collection,budget,original_language,original_title,overview,popularity,release_date,revenue,runtime,tagline,title,vote_average,vote_count,languages,day_of_week,month,season,year,has_homepage,genre,companies,countries
FALSE,Despicable Me Collection,74000000,en,Minions,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",547.488298,6/17/2015,1156730962,91,"Before Gru, they had a history of bad bosses",Minions,6.4,4729,['English'],Wednesday,Jun,Q2,2015,YES,"['Family', 'Animation', 'Adventure', 'Comedy']","['Universal Pictures', 'Illumination Entertainment']",['United States of America']
FALSE,Captain America Collection,250000000,en,Captain America: Civil War,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",145.882135,4/27/2016,1153304495,147,Divided We Fall,Captain America: Civil War,7.1,7462,"['RomÃ¢nÄƒ', 'English', 'Deutsch', 'PÑƒÑÑÐºÐ¸Ð¹']",Wednesday,Apr,Q2,2016,YES,"['Adventure', 'Action', 'Science Fiction']","['Studio Babelsberg', 'Marvel Studios', 'Walt Disney Studios Motion Pictures', 'Vita-Ray Dutch Productions (III)', 'Deluxe Digital Studios']",['United States of America']
FALSE,Transformers Collection,195000000,en,Transformers: Dark of the Moon,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",4.503505,6/28/2011,1123746996,154,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3351,['English'],Tuesday,Jun,Q2,2011,YES,"['Action', 'Science Fiction', 'Adventure']","['Paramount Pictures', 'Di Bonaventura Pictures', 'Indochina Productions', 'Hasbro Studios']",['United States of America']
FALSE,The Lord of the Rings Collection,94000000,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,12/1/2003,1118888979,201,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,8.1,8226,['English'],Monday,Dec,Q4,2003,YES,"['Adventure', 'Fantasy', 'Action']","['WingNut Films', 'New Line Cinema']","['New Zealand', 'United States of America']"
FALSE,James Bond Collection,200000000,en,Skyfall,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",20.309585,10/25/2012,1108561013,143,Think on your sins.,Skyfall,6.9,7718,['English'],Thursday,Oct,Q4,2012,YES,"['Action', 'Adventure', 'Thriller']",['Columbia Pictures'],"['United Kingdom', 'United States of America']"
FALSE,Transformers Collection,210000000,en,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",18.495599,6/25/2014,1091405097,165,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3136,['English'],Wednesday,Jun,Q2,2014,YES,"['Science Fiction', 'Action', 'Adventure']","['Paramount Pictures', 'Amblin Entertainment', 'Di Bonaventura Pictures', 'Platinum Dunes', 'China Movie Channel', 'Hasbro Studios', 'Ian Bryce Productions', 'Revolution Sun Studios']",['United States of America']
FALSE,The Dark Knight Collection,250000000,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",20.58258,7/16/2012,1084939099,165,The Legend Ends,The Dark Knight Rises,7.6,9263,['English'],Monday,Jul,Q3,2012,YES,"['Action', 'Crime', 'Drama', 'Thriller']","['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']",['United States of America']
FALSE,Toy Story Collection,200000000,en,Toy Story 3,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",16.96647,6/16/2010,1066969703,103,No toy gets left behind.,Toy Story 3,7.6,4710,"['English', 'EspaÃ±ol']",Wednesday,Jun,Q2,2010,YES,"['Animation', 'Family', 'Comedy']","['Walt Disney Pictures', 'Pixar Animation Studios']",['United States of America']
FALSE,Pirates of the Caribbean Collection,200000000,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",29.455314,6/20/2006,1065659812,151,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5380,"['English', 'TÃ¼rkÃ§e', 'ÎµÎ»Î»Î·Î½Î¹ÎºÎ¬', 'æ™®é€šè¯']",Tuesday,Jun,Q2,2006,YES,"['Adventure', 'Fantasy', 'Action']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Second Mate Productions']",['United States of America']
FALSE,Star Wars Collection,200000000,en,Rogue One: A Star Wars Story,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,36.567575,12/14/2016,1056057273,133,A Rebellion Built on Hope,Rogue One: A Star Wars Story,7.4,5111,['English'],Wednesday,Dec,Q4,2016,YES,"['Action', 'Adventure', 'Science Fiction']","['Lucasfilm', 'Walt Disney Pictures', 'Allison Shearmur Productions', 'Black Hangar Studios', 'Stereo D']",['United States of America']
FALSE,Pirates of the Caribbean Collection,380000000,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",27.88772,5/14/2011,1045713802,136,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,5068,"['English', 'EspaÃ±ol']",Saturday,May,Q2,2011,YES,"['Adventure', 'Action', 'Fantasy']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Moving Picture Company (MPC)']",['United States of America']
FALSE,Finding Nemo Collection,200000000,en,Finding Dory,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,14.477677,6/16/2016,1028570889,97,An unforgettable journey she probably won't remember.,Finding Dory,6.8,4333,['English'],Thursday,Jun,Q2,2016,YES,"['Adventure', 'Animation', 'Comedy', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios', 'Hurwitz Creative']",['United States of America']
FALSE,Alice in Wonderland Collection,200000000,en,Alice in Wonderland,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason â€“ to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",17.285093,3/3/2010,1025491110,108,You're invited to a very important date.,Alice in Wonderland,6.4,4773,['English'],Wednesday,Mar,Q1,2010,YES,"['Family', 'Fantasy', 'Adventure']","['Walt Disney Pictures', 'Team Todd', 'Tim Burton Productions', 'Roth Films', 'Zanuck Company, The']",['United States of America']
FALSE,not available,150000000,en,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",26.024868,2/11/2016,1023784195,108,Welcome to the urban jungle.,Zootopia,7.7,4961,['English'],Thursday,Feb,Q1,2016,YES,"['Animation', 'Adventure', 'Family', 'Comedy']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America']
FALSE,The Hobbit Collection,250000000,en,The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",23.253089,11/26/2012,1021103568,169,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7,8427,['English'],Monday,Nov,Q4,2012,YES,"['Adventure', 'Fantasy', 'Action']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']","['New Zealand', 'United States of America']"
FALSE,Despicable Me Collection,80000000,en,Despicable Me 3,Gru and his wife Lucy must stop former '80s child star Balthazar Bratt from achieving world domination.,36.631519,6/15/2017,1020063384,96,Oh brother.,Despicable Me 3,6.2,2002,['English'],Thursday,Jun,Q2,2017,YES,"['Action', 'Animation', 'Adventure', 'Family', 'Comedy']",['Illumination Entertainment'],['United States of America']
FALSE,The Dark Knight Collection,185000000,en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",123.167259,7/16/2008,1004558444,152,Why So Serious?,The Dark Knight,8.3,12269,"['English', 'æ™®é€šè¯']",Wednesday,Jul,Q3,2008,YES,"['Drama', 'Action', 'Crime', 'Thriller']","['DC Comics', 'Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']","['United Kingdom', 'United States of America']"
